post_id,text_urdu,text_roman,text_english,platform,collection_date,post_length,depression_label,llm_label,human_verified,label_confidence,cultural_markers,keywords_matched
b118004577f24e07,آج کام میں بہت کامیابی ملی,Aaj kaam mein bohat kamyabi mili,Got a lot of success in work today,twitter_x,2024-06-01,26,0,0,False,0.824,kamyabi,نیند نہیں آتی
7d5dfaf867fa46fa,خود کو ختم کر لوں تو شاید سب ٹھیک ہو جائے,Khud ko khatam kar lun to shayad sab theek ho jaye,If I end myself maybe everything will be alright,twitter_x,2024-10-09,41,3,3,True,0.896,"thakawat,dard,khatam",نیند نہیں آتی
8dc420e33f44cb16,خاندان کے ساتھ پکنک پر گئے,Khandan ke sath picnic par gaye,Went on a picnic with family,twitter_x,2025-04-24,26,0,0,False,0.901,mausam,اداسی
cf139222b18df713,کوئی نہیں جو محسوس کرے، مجھے کوئی فرق نہیں پڑتا اب,"Koi nahi jo mahsoos kare, mujhe koi farq nahi parta ab","No one who cares, nothing matters to me anymore",twitter_x,2024-01-23,50,3,3,True,0.601,"thakawat,dard,khatam",اداسی
204b874d03c660ec,ہر روز ایک جیسا ہے، کوئی فرق نہیں پڑتا,"Har roz ek jaisa hai, koi farq nahi parta","Every day is the same, nothing matters anymore",twitter_x,2024-09-25,38,2,2,True,0.742,"neend,udaasi",اداسی
d47230d7065df803,آج کا دن بہت پرسکون رہا,Aaj ka din bohat pursukoon raha,Today was a very peaceful day,twitter_x,2024-06-09,23,0,0,False,0.934,mausam,بیکار لگتا ہے
51df56789ffc734c,آج پھر وہی پرانی یادیں آئیں,Aaj phir wahi purani yaadein aayin,Those old memories came again today,twitter_x,2025-02-20,27,1,1,False,0.816,thakawat,امید نہیں
6c8c812a0cbe2d08,نئے دوست بنے ہیں، زندگی اچھی لگ رہی ہے,"Naye dost bane hain, zindagi achi lag rahi hai","Made new friends, life is feeling good",twitter_x,2024-06-13,38,0,0,False,0.889,,تھکاوٹ
44b166170a9fb243,گھر والوں کے ساتھ وقت گزرا، خوشی ہوئی,"Ghar walon ke sath waqt guzra, khushi hui","Spent time with family, felt happy",twitter_x,2024-01-17,37,0,0,False,0.9,mausam,بیکار لگتا ہے
aaecb4cd08996202,خاندان کے ساتھ پکنک پر گئے,Khandan ke sath picnic par gaye,Went on a picnic with family,twitter_x,2024-11-26,26,0,0,False,0.854,kamyabi,تنہائی
950807822301cfe6,کوئی نہیں جو محسوس کرے، مجھے کوئی فرق نہیں پڑتا اب,"Koi nahi jo mahsoos kare, mujhe koi farq nahi parta ab","No one who cares, nothing matters to me anymore",twitter_x,2024-05-27,50,3,3,True,0.798,"maqsad,maut,dard",اکیلا
0f3cf90f8c82f1e5,تھک گیا ہوں لڑتے لڑتے، اب اور نہیں ہوتا,"Thak gaya hun larte larte, ab aur nahi hota","I'm tired of fighting, I can't do it anymore",twitter_x,2024-04-14,39,3,3,True,0.747,"thakawat,dard,khatam",زندگی بوجھ
0760c6dc3a27a9ae,آج بارش میں بھیگا، بچپن یاد آ گیا,"Aaj barish mein bhiga, bachpan yaad aa gaya","Got wet in the rain today, remembered childhood",twitter_x,2025-01-31,33,0,0,False,0.918,kamyabi,خوشی نہیں ملتی
ef87590b9453735a,آج خوشی نہیں آئی، بس گزر گیا دن,"Aaj khushi nahi aayi, bas guzar gaya din","No joy came today, the day just passed",twitter_x,2025-04-15,31,1,1,False,0.863,"neend,sochein",اداسی
14e66f7d63528132,ہر رات سوچتا ہوں کاش صبح نہ ہو,Har raat sochta hun kaash subah na ho,Every night I wish morning would not come,twitter_x,2024-01-11,30,3,3,True,0.687,"thakawat,dard,khatam",امید نہیں
1b8ab809e856e914,ہر چیز سے نفرت ہو گئی ہے، زندگی سے بھی,"Har cheez se nafrat ho gayi hai, zindagi se bhi","Grown to hate everything, including life itself",twitter_x,2024-03-22,38,3,3,True,0.73,"maqsad,maut,dard",تنہائی
1ac31d44399ca39b,پرانے دوستوں سے ملاقات ہوئی بہت اچھا لگا,Purane doston se mulaqat hui bohat acha laga,"Met old friends, felt very good",twitter_x,2024-09-08,40,0,0,False,0.968,mausam,تنہائی
0827985551b88370,آج کام میں بہت کامیابی ملی,Aaj kaam mein bohat kamyabi mili,Got a lot of success in work today,twitter_x,2024-07-20,26,0,0,False,0.835,"ghar,khushi",زندگی بوجھ
c25cc91e97d6f990,آج بارش میں بھیگا، بچپن یاد آ گیا,"Aaj barish mein bhiga, bachpan yaad aa gaya","Got wet in the rain today, remembered childhood",twitter_x,2024-04-04,33,0,0,False,0.913,"ghar,khushi",نیند نہیں آتی
09585972c01885d4,پرانے دوستوں سے ملاقات ہوئی بہت اچھا لگا,Purane doston se mulaqat hui bohat acha laga,"Met old friends, felt very good",twitter_x,2024-03-13,40,0,0,False,0.888,,ڈپریشن
8222425da5b9a928,آج کچھ ٹھیک نہیں لگ رہا، بس یوں ہی,"Aaj kuch theek nahi lag raha, bas yun hi","Not feeling right today, just like that",twitter_x,2025-01-13,34,1,1,True,0.743,"udaasi,akela",دل اداس
